lat,lon,date,Max temp,Min temp,Total Precip,Max daily precip,Rain days,Max sustained wind
-35.832692,174.487842,2022-10-09,63℉,53℉,0.04in,0.04in,1.0,15mph
-45.946442,170.335968,2022-10-09,68℉,42℉,0in,0in,0,10mph
-43.432158,172.715085,2022-10-09,71℉,32℉,0.01in,0.01in,1.0,15mph
-45.911841,170.491754,2022-10-09,68℉,42℉,0in,0in,0,10mph
-42.436819,171.186628,2022-10-09,58℉,48℉,0.05in,0.05in,1.0,8.1mph
-45.814022,170.626483,2022-10-10,66℉,52℉,0in,0in,0,26mph
-36.832171,175.711371,2022-10-11,66℉,52℉,0in,0in,0,10mph
-43.608808,172.731398,2022-10-11,62℉,46℉,0in,0in,0,22mph
-41.2621302,173.778262,2022-10-11,63℉,55℉,0in,0in,0,36mph
-37.662984,176.17627,2022-10-11,64℉,52℉,0in,0in,0,14mph
-37.654689,176.181102,2022-10-13,65℉,57℉,0.05in,0.05in,1.0,11mph
-36.840903,174.767555,2022-10-13,65℉,53℉,0in,0in,0,9.9mph
-39.053909,174.034798,2022-10-13,62℉,51℉,0.01in,0.01in,1.0,20mph
-39.053909,174.034798,2022-10-13,62℉,51℉,0.01in,0.01in,1.0,20mph
-41.284842,174.788504,2022-10-14,54℉,50℉,0in,0in,0,19mph
-41.269545,173.771306,2022-10-14,56℉,47℉,0.00in,0.00in,1.0,25mph
-37.640598,176.175488,2022-10-15,63℉,52℉,0in,0in,0,14mph
-41.234575,173.226309,2022-10-17,64℉,46℉,0in,0in,0,12mph
-37.648074,176.175091,2022-10-17,66℉,52℉,0.00in,0.00in,1.0,18mph
-37.648074,176.175091,2022-10-17,66℉,52℉,0.00in,0.00in,1.0,18mph
-38.124376,176.260424,2022-10-18,68℉,54℉,0.08in,0.08in,1.0,16mph
-37.628459,176.161468,2022-10-18,69℉,56℉,0.09in,0.09in,1.0,18mph
-46.593393,168.347566,2022-10-19,57℉,40℉,0.67in,0.67in,1.0,21mph
-36.83113422,174.7487926,2022-10-19,62℉,54℉,0.02in,0.02in,1.0,24mph
-39.289314,174.961656,2022-10-20,56℉,46℉,0.02in,0.02in,1.0,22mph
-37.657568,176.181336,2022-10-20,64℉,51℉,0in,0in,0,23mph
-41.256746,173.23724,2022-10-21,61℉,47℉,0in,0in,0,18mph
-37.639898,176.171509,2022-10-21,61℉,52℉,0.04in,0.04in,1.0,18mph
-45.814173,170.627301,2022-10-22,64℉,28℉,0.01in,0.01in,1.0,6.9mph
-37.661543,176.175563,2022-10-22,59℉,43℉,0in,0in,0,10mph
-37.661543,176.175563,2022-10-22,59℉,43℉,0in,0in,0,10mph
-45.909835,170.511805,2022-10-22,64℉,28℉,0.01in,0.01in,1.0,6.9mph
-41.243595,174.053856,2022-10-22,56℉,44℉,0in,0in,0,14mph
-43.288095,172.723868,2022-10-23,77℉,46℉,0in,0in,0,18mph
-41.106164,174.832707,2022-10-23,61℉,48℉,0in,0in,0,25mph
-36.82111,174.817806,2022-10-23,66℉,48℉,0in,0in,0,15mph
-36.82111,174.817806,2022-10-23,66℉,48℉,0in,0in,0,15mph
-41.279052,174.856767,2022-10-23,61℉,50℉,0in,0in,0,28mph
-37.642302,176.16957,2022-10-23,69℉,45℉,0in,0in,0,17mph
-39.474146,176.920482,2022-10-24,76℉,58℉,0in,0in,0,23mph
-39.474146,176.920482,2022-10-24,76℉,58℉,0in,0in,0,23mph
-37.633953,176.165063,2022-10-24,73℉,51℉,0in,0in,0,24mph
-37.66101,176.163711,2022-10-24,73℉,51℉,0in,0in,0,24mph
-36.972537,175.254408,2022-10-24,67℉,52℉,0in,0in,0,21mph
-38.07334,176.273294,2022-10-24,72℉,47℉,0in,0in,0,18mph
-44.386839,171.263086,2022-10-25,53℉,38℉,0.15in,0.15in,1.0,12mph
-41.083829,173.94205,2022-10-25,53℉,48℉,0.01in,0.01in,1.0,21mph
-36.94844,174.867361,2022-10-25,68℉,54℉,0in,0in,0,16mph
-41.240404,174.224232,2022-10-26,62℉,46℉,0.01in,0.01in,1.0,24mph
-39.475757,176.921296,2022-10-26,72℉,48℉,0.04in,0.04in,1.0,18mph
-39.475806,176.921388,2022-10-27,72℉,50℉,0in,0in,0,11mph
-35.741149,174.350657,2022-10-27,71℉,49℉,0in,0in,0,11mph
-41.282912,174.796104,2022-10-28,66℉,57℉,0in,0in,0,28mph
-36.841064,174.791122,2022-10-28,72℉,60℉,0in,0in,0,20mph
-43.858219,168.659294,2022-10-29,61℉,58℉,2.0in,2.0in,1.0,17mph
-39.47525,176.917689,2022-10-30,72℉,61℉,0in,0in,0,23mph
-37.642661,176.173178,2022-10-30,65℉,62℉,1.4in,1.4in,1.0,21mph
-41.270504,174.014019,2022-10-31,64℉,56℉,0.00in,0.00in,1.0,19mph
-41.271406,174.816144,2022-11-01,65℉,57℉,0in,0in,0,26mph
-36.837684,174.770681,2022-11-01,71℉,59℉,0in,0in,0,12mph
-37.630935,176.160881,2022-11-01,69℉,55℉,0.08in,0.08in,1.0,10mph
-35.84637125,174.5219765,2022-11-01,74℉,60℉,0.07in,0.07in,1.0,8.8mph
-35.84637125,174.5219765,2022-11-01,74℉,60℉,0.07in,0.07in,1.0,8.8mph
-41.283809,174.782937,2022-11-01,65℉,57℉,0in,0in,0,26mph
-44.638161,168.317577,2022-11-01,64℉,50℉,0.01in,0.01in,1.0,13mph
-41.255914,173.282187,2022-11-02,67℉,54℉,0.01in,0.01in,1.0,24mph
-41.265195,174.787906,2022-11-02,66℉,59℉,0.03in,0.03in,1.0,29mph
-41.239447,173.247904,2022-11-02,68℉,54℉,0.01in,0.01in,1.0,24mph
-41.238968,173.245949,2022-11-02,68℉,54℉,0.01in,0.01in,1.0,24mph
-41.219045,174.101376,2022-11-02,64℉,58℉,0.01in,0.01in,1.0,30mph
-41.219045,174.101376,2022-11-02,64℉,58℉,0.01in,0.01in,1.0,30mph
-36.82479,174.736699,2022-11-02,73℉,56℉,0in,0in,0,19mph
-36.83676,174.790844,2022-11-02,73℉,56℉,0in,0in,0,19mph
-41.284195,174.005651,2022-11-03,67℉,59℉,0.27in,0.27in,1.0,38mph
-36.8089119,175.0270359,2022-11-03,68℉,60℉,0.10in,0.10in,1.0,18mph
-39.945267,174.991637,2022-11-04,63℉,54℉,0in,0in,0,21mph
-18.14561,178.408353,2022-11-04,88℉,75℉,0in,0in,0,11mph
-39.972691,174.987527,2022-11-07,64℉,51℉,0.04in,0.04in,1.0,12mph
-37.6484,176.181354,2022-11-07,66℉,60℉,0in,0in,0,14mph
-34.814222,173.11931,2022-11-09,64℉,58℉,0.01in,0.01in,1.0,32mph
-44.36771464,168.0072784,2022-11-09,65℉,52℉,0in,0in,0,13mph
-36.78,174.68,2022-11-09,67℉,59℉,0.35in,0.35in,1.0,17mph
-41.257285,173.829093,2022-11-09,64℉,51℉,0.00in,0.00in,1.0,13mph
-41.11490182,174.2180747,2022-11-10,59℉,53℉,0.00in,0.00in,1.0,26mph
-37.657232,176.180835,2022-11-10,73℉,59℉,0.01in,0.01in,1.0,25mph
-39.275146,173.698253,2022-11-10,70℉,54℉,0.00in,0.00in,1.0,30mph
-37.659017,176.180676,2022-11-12,71℉,63℉,1.1in,1.1in,1.0,16mph
-46.986596,168.115409,2022-11-12,57℉,51℉,0in,0in,0,21mph
-36.956043,174.463841,2022-11-12,75℉,62℉,0in,0in,0,21mph
-36.826824,174.745924,2022-11-14,70℉,59℉,0in,0in,0,14mph
-36.826824,174.745924,2022-11-14,70℉,59℉,0in,0in,0,14mph
-35.262866,174.119796,2022-11-14,72℉,54℉,0in,0in,0,10mph
-36.874661,174.903901,2022-11-14,70℉,59℉,0in,0in,0,14mph
-43.433309,172.715181,2022-11-14,63℉,54℉,0.02in,0.02in,1.0,22mph
-43.612344,172.704932,2022-11-14,62℉,53℉,0.02in,0.02in,1.0,22mph
-45.779917,170.722317,2022-11-15,85℉,44℉,0in,0in,0,10mph
-37.81792,174.828161,2022-11-16,71℉,61℉,0in,0in,0,8.5mph
-41.280041,174.783424,2022-11-17,68℉,59℉,0.28in,0.28in,1.0,13mph
-36.623931,174.787504,2022-11-17,67℉,62℉,0.60in,0.60in,1.0,17mph
-43.612589,172.750074,2022-11-18,60℉,56℉,0.18in,0.18in,1.0,14mph
-36.8089119,175.0270359,2022-11-19,71℉,57℉,0.05in,0.05in,1.0,17mph
-35.896032,174.751009,2022-11-19,69℉,61℉,0.06in,0.06in,1.0,23mph
-36.841521,174.783221,2022-11-19,70℉,57℉,0.05in,0.05in,1.0,17mph
-41.281608,174.009616,2022-11-20,65℉,58℉,0.28in,0.28in,1.0,19mph
-44.756675,168.32948,2022-11-20,66℉,57℉,0.02in,0.02in,1.0,13mph
